timestamp,generated_at,eth_close,predicted_24h_return,threshold,signal_fires,direction,pool_buy_fraction,pool_net_pressure,wallet_count,model_version
2026-05-13T00:00:00,2026-05-13T02:44:21.143774,2281.21,2.8775033950805664,0.5,True,LONG,0.3034825870646766,-0.0451121427170466,201,v1_200wallet_baseline
2026-06-25T00:00:00,2026-06-25T13:00:22.275293,1617.95,2.8333609104156494,0.5,True,LONG,0.5970149253731343,0.0752527668026606,201,v1_200wallet_baseline
2026-06-26T00:00:00,2026-06-26T13:00:22.036145,1565.53,2.6161205768585205,0.5,True,LONG,0.0099502487562189,-0.96592630054063,201,v1_200wallet_baseline
2026-06-27T00:00:00,2026-06-27T13:00:22.127168,1577.07,2.9900004863739014,0.5,True,LONG,0.0199004975124378,0.9390651561572824,201,v1_200wallet_baseline
2026-06-28T00:00:00,2026-06-28T13:00:21.653159,1574.96,3.413890600204468,0.5,True,LONG,0.0149253731343283,0.9987069844368966,201,v1_200wallet_baseline
2026-06-29T00:00:00,2026-06-29T03:21:19.670841,1573.18,0.3513462841510772,0.5,False,FLAT,0.0099502487562189,0.9681910263696788,201,v1_200wallet_baseline
2026-06-29T04:00:00,2026-06-29T04:18:18.297340,1580.8,0.1371947079896927,0.5,False,FLAT,0.0049751243781094,0.9610998475601936,201,v1_200wallet_baseline
2026-06-29T13:00:00,2026-06-29T13:00:32.898385,1577.19,-0.0896198749542236,0.5,False,FLAT,0.0,-0.999977735656787,201,v1_200wallet_baseline
2026-06-30T13:00:00,2026-06-30T13:00:34.408148,1552.29,-0.3595803081989288,0.5,False,FLAT,0.1044776119402985,0.4338722414174963,201,v1_200wallet_baseline
2026-07-01T13:00:00,2026-07-01T13:00:35.609706,1568.97,0.039401538670063,0.5,False,FLAT,0.0099502487562189,0.999999953086241,201,v1_200wallet_baseline
2026-07-02T13:00:00,2026-07-02T13:00:34.917115,1663.96,1.029287576675415,0.5,True,LONG,0.0099502487562189,0.9999999453005756,201,v1_200wallet_baseline
2026-07-03T13:00:00,2026-07-03T13:00:34.686528,1736.15,-0.2208320796489715,0.5,False,FLAT,0.0,0.0,201,v1_200wallet_baseline
2026-07-04T13:00:00,2026-07-04T13:00:34.282128,1765.05,-0.2534901797771454,0.5,False,FLAT,0.0,0.0,201,v1_200wallet_baseline
2026-07-05T13:00:00,2026-07-05T13:00:34.345001,1764.77,-0.5015969276428223,0.5,False,FLAT,0.0049751243781094,-0.4311703160452625,201,v1_200wallet_baseline
2026-07-06T13:00:00,2026-07-06T13:00:35.613823,1741.32,0.0686194226145744,0.5,False,FLAT,0.0,-0.9999716196095724,201,v1_200wallet_baseline
2026-07-07T13:00:00,2026-07-07T13:00:34.565942,1782.16,-0.0156618524342775,0.5,False,FLAT,0.0049751243781094,0.9992875347336792,201,v1_200wallet_baseline
2026-07-08T13:00:00,2026-07-08T13:00:34.253066,1738.99,-0.0156618524342775,0.5,False,FLAT,0.0,0.7499999999013083,201,v1_200wallet_baseline
2026-07-09T13:00:00,2026-07-09T13:00:34.216120,1742.4,-0.015661852434277534,0.5,False,FLAT,0.0,0.0,201,v1_200wallet_baseline
